,datetime,station,lat,lon,pm2_5
87,2024-01-01 12:00:00,11T,13.7898,100.4486,132.3
88,2024-01-01 12:00:00,12T,13.8225,100.5147,145.94
89,2024-01-01 12:00:00,15T,13.7083,100.3728,132.3
90,2024-01-01 12:00:00,61T,13.6796,100.6067,131.22
91,2024-01-01 13:00:00,3T,13.7563,100.5018,177.28
92,2024-01-01 13:00:00,5T,13.7367,100.5231,177.28
93,2024-01-01 13:00:00,10T,13.7291,100.775,35.97
94,2024-01-01 13:00:00,11T,13.7898,100.4486,185.1
95,2024-01-01 13:00:00,12T,13.8225,100.5147,177.28
96,2024-01-01 13:00:00,15T,13.7083,100.3728,185.1
97,2024-01-01 13:00:00,61T,13.6796,100.6067,178.78
98,2024-01-01 14:00:00,3T,13.7563,100.5018,194.75
99,2024-01-01 14:00:00,5T,13.7367,100.5231,194.75
100,2024-01-01 14:00:00,10T,13.7291,100.775,37.97
101,2024-01-01 14:00:00,11T,13.7898,100.4486,219.09
102,2024-01-01 14:00:00,12T,13.8225,100.5147,194.75
103,2024-01-01 14:00:00,15T,13.7083,100.3728,219.09
104,2024-01-01 14:00:00,61T,13.6796,100.6067,201.88
105,2024-01-01 15:00:00,3T,13.7563,100.5018,217.97
106,2024-01-01 15:00:00,5T,13.7367,100.5231,217.97
107,2024-01-01 15:00:00,10T,13.7291,100.775,39.98
108,2024-01-01 15:00:00,11T,13.7898,100.4486,217.78
109,2024-01-01 15:00:00,12T,13.8225,100.5147,217.97
110,2024-01-01 15:00:00,15T,13.7083,100.3728,217.78
111,2024-01-01 15:00:00,61T,13.6796,100.6067,207.23
112,2024-01-01 16:00:00,3T,13.7563,100.5018,242.63
113,2024-01-01 16:00:00,5T,13.7367,100.5231,242.63
114,2024-01-01 16:00:00,10T,13.7291,100.775,40.22
115,2024-01-01 16:00:00,11T,13.7898,100.4486,205.87
116,2024-01-01 16:00:00,12T,13.8225,100.5147,242.63
117,2024-01-01 16:00:00,15T,13.7083,100.3728,205.87
118,2024-01-01 16:00:00,61T,13.6796,100.6067,186.48
119,2024-01-01 17:00:00,3T,13.7563,100.5018,232.79
120,2024-01-01 17:00:00,5T,13.7367,100.5231,232.79
121,2024-01-01 17:00:00,10T,13.7291,100.775,35.23
122,2024-01-01 17:00:00,11T,13.7898,100.4486,229.41
123,2024-01-01 17:00:00,12T,13.8225,100.5147,232.79
124,2024-01-01 17:00:00,15T,13.7083,100.3728,229.41
125,2024-01-01 17:00:00,61T,13.6796,100.6067,138.16
126,2024-01-01 18:00:00,3T,13.7563,100.5018,183.52
127,2024-01-01 18:00:00,5T,13.7367,100.5231,183.52
128,2024-01-01 18:00:00,10T,13.7291,100.775,28.17
129,2024-01-01 18:00:00,11T,13.7898,100.4486,292.22
130,2024-01-01 18:00:00,12T,13.8225,100.5147,183.52
131,2024-01-01 18:00:00,15T,13.7083,100.3728,292.22
132,2024-01-01 18:00:00,61T,13.6796,100.6067,100.1
133,2024-01-01 19:00:00,3T,13.7563,100.5018,141.21
134,2024-01-01 19:00:00,5T,13.7367,100.5231,141.21
135,2024-01-01 19:00:00,10T,13.7291,100.775,24.25
136,2024-01-01 19:00:00,11T,13.7898,100.4486,322.18
137,2024-01-01 19:00:00,12T,13.8225,100.5147,141.21
138,2024-01-01 19:00:00,15T,13.7083,100.3728,322.18
139,2024-01-01 19:00:00,61T,13.6796,100.6067,100.02
140,2024-01-01 20:00:00,3T,13.7563,100.5018,115.91
141,2024-01-01 20:00:00,5T,13.7367,100.5231,115.91
142,2024-01-01 20:00:00,10T,13.7291,100.775,24.3
143,2024-01-01 20:00:00,11T,13.7898,100.4486,319.45
144,2024-01-01 20:00:00,12T,13.8225,100.5147,115.91
145,2024-01-01 20:00:00,15T,13.7083,100.3728,319.45
146,2024-01-01 20:00:00,61T,13.6796,100.6067,114.33
147,2024-01-01 21:00:00,3T,13.7563,100.5018,98.75
